actor,date,implementer,ngo,status,paid_amount,total_amount
"United States of America, Government of",2020-10-08,United Nations Children's Fund,False,commitment,0,1894993
"United States of America, Government of",2020-07-30,Danish Refugee Council,True,commitment,0,400780
"United States of America, Government of",2020-10-28,International Organization for Migration,False,paid,39167,39167
"United States of America, Government of",2020-11-06,International Organization for Migration,False,commitment,0,3360000
"United States of America, Government of",2020-11-04,United Nations High Commissioner for Refugees,False,paid,10100000,10100000
"United States of America, Government of",2020-09-24,World Health Organization,False,commitment,0,2830000
"United States of America, Government of",2020-11-09,World Health Organization,False,commitment,1026000,6636000
"United States of America, Government of",2020-11-12,Catholic Relief Services,True,paid,180864,180864
"United States of America, Government of",2020-10-01,World Health Organization,False,commitment,0,896000
"United States of America, Government of",2020-11-10,United Nations Children's Fund,False,paid,162000,162000
"United States of America, Government of",2020-11-03,United Nations Children's Fund,False,paid,2605000,2605000
"United States of America, Government of",2020-11-14,NGOs (details not yet provided),True,commitment,0,6204130
"United States of America, Government of",2020-12-07,NGOs (details not yet provided),True,commitment,0,5108228
"United States of America, Government of",2020-12-16,Action Contre la Faim,True,commitment,355000,480334
"Austria, Government of",2020-04-14,World Health Organization,False,commitment,0,0
"Austria, Government of",2020-03-30,World Health Organization,False,commitment,0,2171553
"Austria, Government of",2020-05-27,United Nations High Commissioner for Refugees,False,paid,307949,307949
"Austria, Government of",2020-04-27,United Nations High Commissioner for Refugees,False,paid,727802,727802
"Austria, Government of",2019-01-01,United Nations Population Fund,False,paid,275028,275028
"Austria, Government of",2020-11-04,United Nations High Commissioner for Refugees,False,paid,532649,532649
"Saudi Arabia (Kingdom of), Government of",2020-04-01,World Health Organization,False,commitment,0,20000000
"Saudi Arabia (Kingdom of), Government of",2020-02-18,"China, Government of",False,paid,4978371,4978371
"Saudi Arabia (Kingdom of), Government of",2020-04-14,"Palestinian territory, occupied",False,commitment,0,6010000
"Saudi Arabia (Kingdom of), Government of",2020-06-25,"Yemen, Government of",False,paid,4206933,4206933
"Saudi Arabia (Kingdom of), Government of",2020-09-17,World Food Programme,False,paid,138000000,138000000
"Saudi Arabia (Kingdom of), Government of",2020-09-01,Food & Agriculture Organization of the United Nations,False,commitment,0,5000000
"Saudi Arabia (Kingdom of), Government of",2020-09-14,World Health Organization,False,commitment,0,80000000
"Saudi Arabia (Kingdom of), Government of",2020-09-09,"Yemen, Government of",False,paid,39607,39607
"Saudi Arabia (Kingdom of), Government of",2020-09-21,United Nations Children's Fund,False,paid,6000000,6000000
"Saudi Arabia (Kingdom of), Government of",2020-11-04,United Nations High Commissioner for Refugees,False,paid,3000000,3000000
"Saudi Arabia (Kingdom of), Government of",2020-11-01,World Health Organization,False,paid,13000000,13000000
"Saudi Arabia (Kingdom of), Government of",2020-07-20,"Iraq, Government of",False,paid,3661203,3661203
"Saudi Arabia (Kingdom of), Government of",2020-04-05,Islamic Development Bank,True,paid,5018000,5018000
"Kuwait, Government of",2020-03-24,World Health Organization,False,paid,34907169,34907169
"Kuwait, Government of",2020-04-03,World Health Organization,False,paid,20565490,20565490
"Kuwait, Government of",2020-08-11,GAVI Alliance,True,paid,10000000,10000000
"Kuwait, Government of",2020-04-16,"Comoros Red Crescent, The",True,paid,20000,20000
"Kuwait, Government of",2020-03-31,Red Cross Society of Georgia,False,paid,100000,100000
"Kuwait, Government of",2020-07-16,Ghana Red Cross Society,False,paid,3277,3277
"Kuwait, Government of",2020-05-07,International Federation of Red Cross and Red Crescent Societies,False,paid,101787,101787
"Kuwait, Government of",2020-07-22,Kuwait Red Crescent Society,True,paid,10000,10000
"Kuwait, Government of",2020-08-09,Lebanese Red Cross,False,paid,3500,3500
"Kuwait, Government of",2020-08-20,Lebanese Red Cross,False,paid,21915,21915
"Kuwait, Government of",2020-07-06,United Nations Relief and Works Agency for Palestine Refugees in the Near East,False,paid,50680,50680
"Kuwait, Government of",2020-05-17,Tunisian Red Crescent,True,paid,175000,175000
"Kuwait, Government of",2020-01-07,Estijabah Network for Humanitarian Aid and Relief,True,paid,165384,165384
"Holy See, Government of",2020-04-01,World Health Organization,False,commitment,0,111720
"Holy See, Government of",2020-08-06,United Nations High Commissioner for Refugees,False,paid,27500,27500
Solidarity Response Fund,2020-08-06,World Health Organization,False,commitment,0,181148184
Solidarity Response Fund,2020-05-04,United Nations Children's Fund,False,paid,7678005,7678005
Solidarity Response Fund,2020-05-14,World Food Programme,False,paid,20000000,20000000
Sudan Humanitarian Fund,2019-03-19,World Health Organization,False,paid,495247,495247
Sudan Humanitarian Fund,2020-04-30,,True,paid,8009163,8009163
Sudan Humanitarian Fund,2020-05-28,World Health Organization,False,paid,1600005,1600005
Sudan Humanitarian Fund,2020-06-04,United Nations Children's Fund,False,paid,1599651,1599651
Sudan Humanitarian Fund,2020-08-25,World Vision International,True,paid,7296357,7296357
Sudan Humanitarian Fund,2020-09-29,Deutsche Welthungerhilfe e.V. (German Agro Action),True,paid,782007,782007
Sudan Humanitarian Fund,2020-10-05,International Aid Services,True,paid,679006,679006
Sudan Humanitarian Fund,2020-07-23,United Nations Children's Fund,False,paid,499975,499975
Sudan Humanitarian Fund,2020-11-04,Deutsche Welthungerhilfe e.V. (German Agro Action),True,paid,782007,782007
occupied Palestinian territory Humanitarian Fund,2020-03-23,World Health Organization,False,paid,1000000,1000000
occupied Palestinian territory Humanitarian Fund,2020-04-13,United Nations Children's Fund,False,paid,2625000,2625000
occupied Palestinian territory Humanitarian Fund,2020-04-07,Medical Aid for Palestinians,True,paid,800551,800551
occupied Palestinian territory Humanitarian Fund,2020-04-08,United Nations Relief and Works Agency for Palestine Refugees in the Near East,False,paid,1425000,1425000
occupied Palestinian territory Humanitarian Fund,2020-04-09,MA'AN Development Center,True,paid,325006,325006
occupied Palestinian territory Humanitarian Fund,2020-05-13,Agency for Technical Cooperation and Development,True,paid,300000,300000
occupied Palestinian territory Humanitarian Fund,2020-11-04,Norwegian Refugee Council,True,paid,349999,349999
occupied Palestinian territory Humanitarian Fund,2020-11-05,OXFAM Netherlands (NOVIB),True,paid,3771194,3771194
occupied Palestinian territory Humanitarian Fund,2020-11-10,Palestinian Medical Relief Society,True,paid,1380817,1380817
occupied Palestinian territory Humanitarian Fund,2020-11-18,Action Contre la Faim,True,paid,325805,325805
occupied Palestinian territory Humanitarian Fund,2020-12-10,Medical Aid for Palestinians,True,paid,709601,709601
"Qatar, Government of",2020-04-01,World Health Organization,False,commitment,0,5000000
"Qatar, Government of",2020-06-11,Qatar Red Crescent Society,True,commitment,0,799709
"Qatar, Government of",2020-10-11,"Palestinian territory, occupied",False,paid,24833122,24833122
"Singapore, Government of",2020-04-14,World Health Organization,False,commitment,0,500000
"Lithuania, Government of",2020-03-18,International Federation of Red Cross and Red Crescent Societies,False,commitment,0,113122
"Lithuania, Government of",2020-04-08,,True,commitment,0,110376
"Lithuania, Government of",2020-04-22,,True,commitment,0,109170
"Lithuania, Government of",2020-06-10,,True,commitment,0,94976
"Lithuania, Government of",2020-07-01,,True,commitment,0,55991
Private (individuals & organizations),2020-03-31,United Nations High Commissioner for Refugees,False,paid,318824,318824
Private (individuals & organizations),2020-04-02,World Food Programme,False,paid,2000000,2000000
Private (individuals & organizations),2020-04-01,Plan International,True,paid,54585,54585
Private (individuals & organizations),2020-04-20,United Nations Children's Fund,False,paid,1677743,1677743
Private (individuals & organizations),2020-11-24,United Nations Children's Fund,False,paid,1190350,1190350
Private (individuals & organizations),2020-07-09,World Food Programme,False,paid,3430053,3430053
Private (individuals & organizations),2020-04-27,COVID-19 Humanitarian Thematic Fund,True,paid,96952,3553052
Private (individuals & organizations),2020-05-04,United Nations Children's Fund,False,paid,79280,79280
Private (individuals & organizations),2020-04-29,United Nations Children's Fund,False,paid,20050,20050
Private (individuals & organizations),2020-04-21,United Nations Children's Fund,False,paid,115729,115729
Private (individuals & organizations),2020-05-12,COVID-19 Humanitarian Thematic Fund,True,paid,242271,242271
Private (individuals & organizations),2020-07-06,COVID-19 Humanitarian Thematic Fund,True,paid,651838,651838
Private (individuals & organizations),2020-10-06,COVID-19 Humanitarian Thematic Fund,True,paid,2581705,2581705
Private (individuals & organizations),2020-06-05,COVID-19 Humanitarian Thematic Fund,True,paid,330290,330290
Private (individuals & organizations),2017-11-21,United Nations Population Fund,False,paid,15265,15265
Private (individuals & organizations),2020-05-13,United Nations Children's Fund,False,paid,40000,40000
Private (individuals & organizations),2020-05-15,COVID-19 Humanitarian Thematic Fund,True,paid,140000,140000
Private (individuals & organizations),2020-07-20,United Nations Children's Fund,False,paid,20116,20116
Private (individuals & organizations),2020-05-14,United Nations High Commissioner for Refugees,False,paid,111378,111378
Private (individuals & organizations),2020-05-29,United Nations Children's Fund,False,paid,16445,16445
Private (individuals & organizations),2020-06-01,United Nations Children's Fund,False,paid,251770,251770
Private (individuals & organizations),2020-06-15,United Nations Children's Fund,False,paid,76081,76081
Private (individuals & organizations),2020-12-01,United Nations Children's Fund,False,paid,548333,548333
Private (individuals & organizations),2020-05-28,United Nations High Commissioner for Refugees,False,paid,9800000,9800000
Private (individuals & organizations),2020-05-07,United Nations High Commissioner for Refugees,False,paid,270000,270000
Private (individuals & organizations),2020-06-23,United Nations High Commissioner for Refugees,False,paid,6952065,6952065
Private (individuals & organizations),2020-04-30,United Nations High Commissioner for Refugees,False,paid,4497530,4497530
Private (individuals & organizations),2020-05-27,United Nations High Commissioner for Refugees,False,paid,110000,110000
Private (individuals & organizations),2020-06-16,United Nations High Commissioner for Refugees,False,paid,2000000,2000000
Private (individuals & organizations),2020-06-18,World Food Programme,False,paid,462000,462000
Private (individuals & organizations),2020-06-24,COVID-19 Humanitarian Thematic Fund,True,paid,240796,240796
Private (individuals & organizations),2020-07-02,United Nations High Commissioner for Refugees,False,paid,2041976,2041976
Private (individuals & organizations),2020-11-03,United Nations Children's Fund,False,paid,1679176,1679176
Private (individuals & organizations),2020-06-30,United Nations High Commissioner for Refugees,False,paid,1604975,1604975
Private (individuals & organizations),2020-07-17,United Nations High Commissioner for Refugees,False,paid,625269,625269
Private (individuals & organizations),2020-07-31,United Nations Children's Fund,False,paid,6140,6140
Private (individuals & organizations),2020-07-24,United Nations High Commissioner for Refugees,False,paid,3091277,3091277
Private (individuals & organizations),2020-06-03,United Nations High Commissioner for Refugees,False,paid,6451,6451
Private (individuals & organizations),2020-08-10,COVID-19 Humanitarian Thematic Fund,True,paid,26123,26123
Private (individuals & organizations),2020-06-29,United Nations High Commissioner for Refugees,False,paid,295455,295455
Private (individuals & organizations),2020-06-14,United Nations High Commissioner for Refugees,False,paid,16556,16556
Private (individuals & organizations),2020-08-19,United Nations High Commissioner for Refugees,False,paid,166500,166500
Private (individuals & organizations),2020-07-12,United Nations High Commissioner for Refugees,False,paid,15038,15038
Private (individuals & organizations),2020-07-28,United Nations High Commissioner for Refugees,False,paid,2000040,2000040
Private (individuals & organizations),2020-09-08,United Nations High Commissioner for Refugees,False,paid,2508335,2508335
Private (individuals & organizations),2020-08-07,United Nations Children's Fund,False,paid,320239,320239
Private (individuals & organizations),2020-08-01,Catholic Relief Services,True,paid,409738,409738
Private (individuals & organizations),2020-07-15,United Nations High Commissioner for Refugees,False,paid,100000,100000
Private (individuals & organizations),2020-08-20,United Nations Population Fund,False,paid,35211,35211
Private (individuals & organizations),2020-08-17,United Nations High Commissioner for Refugees,False,paid,212014,212014
Private (individuals & organizations),2020-07-22,United Nations High Commissioner for Refugees,False,paid,121613,121613
Private (individuals & organizations),2020-08-28,United Nations High Commissioner for Refugees,False,paid,1043374,1043374
Private (individuals & organizations),2020-08-31,United Nations High Commissioner for Refugees,False,paid,7188,7188
Private (individuals & organizations),2020-08-04,United Nations High Commissioner for Refugees,False,paid,111360,111360
Private (individuals & organizations),2020-06-02,World Food Programme,False,paid,320000,320000
Private (individuals & organizations),2020-10-01,Disaster Emergency Committee Coronavirus Appeal,True,paid,22965139,22965139
Private (individuals & organizations),2019-11-21,United Nations Population Fund,False,paid,5571,5571
Private (individuals & organizations),2017-11-17,United Nations Population Fund,False,paid,5436,5436
Private (individuals & organizations),2020-11-04,United Nations High Commissioner for Refugees,False,paid,4463982,4463982
Private (individuals & organizations),2020-11-05,United Nations High Commissioner for Refugees,False,paid,521640,521640
Private (individuals & organizations),2020-11-09,COVID-19 Humanitarian Thematic Fund,True,paid,5426708,5426708
Private (individuals & organizations),2020-10-26,United Nations Children's Fund,False,paid,300000,300000
Private (individuals & organizations),2020-11-16,United Nations Children's Fund,False,paid,93450,93450
Private (individuals & organizations),2020-12-07,COVID-19 Humanitarian Thematic Fund,True,paid,217523,217523
OPEC Fund for International Development,2020-05-15,World Health Organization,False,commitment,0,500000
OPEC Fund for International Development,2020-07-20,World Health Organization,False,commitment,0,1000000
"Liechtenstein, Government of",2020-05-15,World Health Organization,False,commitment,0,310238
"Liechtenstein, Government of",2020-04-20,World Food Programme,False,paid,103413,103413
"Liechtenstein, Government of",2020-04-24,United Nations High Commissioner for Refugees,False,paid,103413,103413
"Liechtenstein, Government of",2020-09-24,World Food Programme,False,paid,109890,109890
"Russian Federation, Government of",2020-10-02,World Health Organization,False,commitment,0,1000000
"Russian Federation, Government of",2019-12-11,United Nations High Commissioner for Refugees,False,paid,100000,100000
"Kazakhstan, Government of",2020-04-15,"Kyrgyzstan, Government of",False,paid,6000000,6000000
United Nations Children's Fund,2020-04-16,United Nations Children's Fund,False,paid,130796,130796
United Nations Children's Fund,2017-11-21,United Nations Population Fund,False,paid,108250,108250
United Nations Children's Fund,2020-06-18,United Nations Population Fund,False,paid,232200,232200
United Nations Children's Fund,2020-08-21,Justice Gate Organization,True,paid,1011850,1011850
United Nations Children's Fund,2020-09-04,Triangle Génération Humanitaire,True,paid,260000,260000
United Nations Children's Fund,2020-05-05,Agency for Technical Cooperation and Development,True,commitment,0,204702
United Nations Children's Fund,2020-03-01,Solidarités International,True,commitment,0,4918
United Nations Children's Fund,2020-06-01,Agir en Centrafrique,True,commitment,0,50000
United Nations Children's Fund,2020-09-15,Concern Worldwide,True,commitment,0,455665
United Nations Children's Fund,2020-09-20,Al-Aghsan Foundation for Agricultural and Environmental Development,True,commitment,0,145208
United Nations Children's Fund,2020-05-01,Concern Worldwide,True,commitment,424313,594313
United Nations Children's Fund,2020-07-09,United Nations Population Fund,False,paid,1957264,1957264
United Nations Children's Fund,2020-10-05,Nile Sustainable Development Organization,True,paid,179600,179600
United Nations Children's Fund,2020-10-26,International Organization for Migration,False,paid,56547,56547
United Nations Children's Fund,2020-07-27,Norwegian Refugee Council,True,commitment,0,675191
United Nations Children's Fund,2020-11-18,Voice of the Peace,True,commitment,0,50000
United Nations Children's Fund,2020-10-30,International Aid Services,True,paid,55822,55822
United Nations Children's Fund,2020-11-27,United Nations Children's Fund,False,commitment,0,30284
Democratic Republic of the Congo Humanitarian Fund,2020-04-17,UN agencies and NGOs (details not yet provided),True,commitment,0,3780077
Democratic Republic of the Congo Humanitarian Fund,2020-08-14,Association pour le développement social et la sauvegarde de l’environnement,True,paid,1152400,1152400
Democratic Republic of the Congo Humanitarian Fund,2020-08-17,World Health Organization,False,paid,8363550,8363550
Democratic Republic of the Congo Humanitarian Fund,2020-11-04,Programme de Promotion de Soins de Santé Primaires (PPSSP),True,paid,400000,400000
Myanmar Humanitarian Fund,2020-04-14,,True,commitment,0,4000000
Myanmar Humanitarian Fund,2020-03-25,,True,commitment,0,339874
Myanmar Humanitarian Fund,2020-08-24,World Food Programme,False,paid,3181581,3181581
Myanmar Humanitarian Fund,2020-09-14,Handicap International / Humanity & Inclusion,True,paid,8014,8014
Central African Republic Humanitarian Fund,2020-04-17,,True,commitment,0,3785788
Central African Republic Humanitarian Fund,2020-05-27,All for Peace And Dignity,True,paid,275000,275000
Central African Republic Humanitarian Fund,2020-07-02,Agir en Centrafrique,True,paid,1239212,1239212
Central African Republic Humanitarian Fund,2020-08-06,Food & Agriculture Organization of the United Nations,False,paid,769333,769333
Central African Republic Humanitarian Fund,2020-08-14,War Child UK,True,paid,2152001,2152001
Central African Republic Humanitarian Fund,2020-08-19,Cooperazione Internazionale - COOPI,True,paid,3496044,3496044
Central African Republic Humanitarian Fund,2020-08-26,DORCAS ESPERANCE - Centre de réinsertion sociale d'enfants en détresse,True,paid,30000,30000
Central African Republic Humanitarian Fund,2020-09-04,Comité de Secours Internationaux,True,paid,697776,697776
Central African Republic Humanitarian Fund,2020-05-19,Agency for Technical Cooperation and Development,True,commitment,0,344160
Education Cannot Wait Fund,2020-04-03,Plan International,True,paid,500000,500000
Education Cannot Wait Fund,2020-04-27,United Nations High Commissioner for Refugees,False,paid,1775000,1775000
Education Cannot Wait Fund,2020-05-29,United Nations Children's Fund,False,paid,500000,500000
Education Cannot Wait Fund,2020-06-12,NGOs (details not yet provided),True,paid,5000000,5000000
Education Cannot Wait Fund,2020-04-10,United Nations High Commissioner for Refugees,False,paid,467583,467583
Education Cannot Wait Fund,2020-06-15,Adventist Development and Relief Agency,True,paid,800000,800000
Education Cannot Wait Fund,2020-08-04,United Nations High Commissioner for Refugees,False,paid,2731231,2731231
Education Cannot Wait Fund,2020-08-28,United Nations High Commissioner for Refugees,False,paid,880699,880699
Education Cannot Wait Fund,2020-08-01,United Nations High Commissioner for Refugees,False,paid,120000,120000
Education Cannot Wait Fund,2020-10-13,INTERSOS Humanitarian Aid Organization,True,paid,430000,430000
Education Cannot Wait Fund,2020-11-04,United Nations High Commissioner for Refugees,False,paid,1104153,1104153
Asian Development Bank,2020-04-20,United Nations Children's Fund,False,paid,6150000,6150000
Asian Development Bank,2020-06-24,United Nations Children's Fund,False,paid,13499985,13499985
Asian Development Bank,2020-12-07,United Nations Children's Fund,False,paid,2650000,2650000
Asian Development Bank,2020-10-08,United Nations Children's Fund,False,commitment,0,999735
Asian Development Bank,2020-09-02,World Health Organization,False,paid,15200000,15200000
Asian Development Bank,2020-11-24,United Nations Children's Fund,False,paid,2000000,2000000
UNICEF National Committee/Switzerland,2020-04-20,United Nations Children's Fund,False,paid,417972,417972
UNICEF National Committee/Switzerland,2020-04-27,COVID-19 Humanitarian Thematic Fund,True,paid,17447,17447
UNICEF National Committee/Switzerland,2020-06-15,United Nations Children's Fund,False,paid,54789,54789
UNICEF National Committee/Switzerland,2020-11-09,COVID-19 Humanitarian Thematic Fund,True,paid,42000,42000
UNICEF Croatia,2020-04-20,United Nations Children's Fund,False,paid,10800,10800
UNICEF Croatia,2020-04-24,United Nations Children's Fund,False,paid,9224,9224
UNICEF Croatia,2020-10-06,COVID-19 Humanitarian Thematic Fund,True,paid,114834,114834
UNICEF National Committee/Indonesia,2020-04-20,United Nations Children's Fund,False,paid,250000,250000
US Fund for UNICEF,2020-04-20,United Nations Children's Fund,False,paid,1766772,1766772
US Fund for UNICEF,2020-05-29,COVID-19 Humanitarian Thematic Fund,True,paid,4386954,4386954
US Fund for UNICEF,2020-05-12,COVID-19 Humanitarian Thematic Fund,True,paid,95000,95000
US Fund for UNICEF,2020-05-15,United Nations Children's Fund,False,paid,710500,710500
US Fund for UNICEF,2020-05-27,COVID-19 Humanitarian Thematic Fund,True,paid,258400,258400
US Fund for UNICEF,2020-06-29,COVID-19 Humanitarian Thematic Fund,True,paid,939129,939129
US Fund for UNICEF,2020-10-06,COVID-19 Humanitarian Thematic Fund,True,paid,12389978,12389978
US Fund for UNICEF,2020-06-18,COVID-19 Humanitarian Thematic Fund,True,paid,76000,76000
US Fund for UNICEF,2020-06-24,COVID-19 Humanitarian Thematic Fund,True,paid,1974026,1974026
US Fund for UNICEF,2020-06-25,COVID-19 Humanitarian Thematic Fund,True,paid,2031023,2031023
US Fund for UNICEF,2020-07-20,COVID-19 Humanitarian Thematic Fund,True,paid,95000,95000
US Fund for UNICEF,2020-07-01,United Nations Children's Fund,False,paid,217080,217080
US Fund for UNICEF,2020-09-24,United Nations Children's Fund,False,paid,32400,32400
US Fund for UNICEF,2020-10-08,United Nations Children's Fund,False,commitment,0,75330
US Fund for UNICEF,2020-11-03,United Nations Children's Fund,False,paid,908600,908600
US Fund for UNICEF,2020-11-09,COVID-19 Humanitarian Thematic Fund,True,paid,93207,93207
US Fund for UNICEF,2020-11-16,COVID-19 Humanitarian Thematic Fund,True,paid,511100,511100
"Malta, Government of",2020-04-20,United Nations Children's Fund,False,paid,11038,11038
"Malta, Government of",2020-05-27,World Food Programme,False,paid,11038,11038
"Malta, Government of",2020-06-29,Food & Agriculture Organization of the United Nations,False,paid,10718,10718
"Malta, Government of",2020-08-14,United Nations Children's Fund,False,paid,22727,22727
UNICEF National Committee/United Kingdom,2020-04-20,United Nations Children's Fund,False,paid,44000,44000
UNICEF National Committee/United Kingdom,2020-05-04,United Nations Children's Fund,False,paid,1244771,1244771
UNICEF National Committee/United Kingdom,2020-07-06,United Nations Children's Fund,False,paid,1716208,1716208
UNICEF National Committee/United Kingdom,2020-06-11,COVID-19 Humanitarian Thematic Fund,True,paid,77369,77369
UNICEF National Committee/United Kingdom,2020-06-22,United Nations Children's Fund,False,paid,192987,192987
UNICEF National Committee/United Kingdom,2020-12-01,United Nations Children's Fund,False,paid,851980,851980
UNICEF National Committee/United Kingdom,2020-11-16,United Nations Children's Fund,False,paid,166775,166775
UNICEF National Committee/United Kingdom,2020-10-06,COVID-19 Humanitarian Thematic Fund,True,paid,2209666,2209666
UNICEF National Committee/United Kingdom,2020-07-09,COVID-19 Humanitarian Thematic Fund,True,paid,1300000,1300000
UNICEF National Committee/United Kingdom,2020-06-18,United Nations Children's Fund,False,paid,56000,56000
UNICEF National Committee/United Kingdom,2020-06-29,United Nations Children's Fund,False,paid,602371,602371
UNICEF National Committee/United Kingdom,2020-06-15,COVID-19 Humanitarian Thematic Fund,True,paid,3700000,3700000
UNICEF National Committee/United Kingdom,2020-07-20,United Nations Children's Fund,False,paid,631688,631688
UNICEF National Committee/United Kingdom,2020-04-30,COVID-19 Humanitarian Thematic Fund,True,paid,397934,397934
UNICEF National Committee/United Kingdom,2020-07-01,United Nations Children's Fund,False,paid,38028,38028
UNICEF National Committee/United Kingdom,2020-11-09,COVID-19 Humanitarian Thematic Fund,True,paid,237750,237750
Ukraine Humanitarian Fund,2020-04-20,HelpAge International,True,paid,300049,300049
Ukraine Humanitarian Fund,2020-04-22,NGO Proliska,True,paid,853846,853846
Ukraine Humanitarian Fund,2020-04-24,Médicos del Mundo Spain,True,paid,200000,200000
Ukraine Humanitarian Fund,2020-04-27,Caritas Ukraine,True,paid,449741,449741
Ukraine Humanitarian Fund,2020-04-02,,True,paid,7864,7864
Ukraine Humanitarian Fund,2020-05-09,,True,commitment,0,1750000
Ukraine Humanitarian Fund,2020-06-05,Première Urgence Internationale,True,paid,188500,188500
Ukraine Humanitarian Fund,2020-06-30,United Nations Children's Fund,False,paid,139997,139997
Ukraine Humanitarian Fund,2020-08-19,"Charitable Organization Charitable Foundation ""Donbass Development Center""",True,paid,123662,123662
Ukraine Humanitarian Fund,2020-08-25,Save the Children,True,paid,1899577,1899577
Ukraine Humanitarian Fund,2020-12-08,Youth Organisation,True,paid,112842,112842
"Portugal, Government of",2020-08-17,World Food Programme,False,paid,33595,33595
"Portugal, Government of",2020-05-01,International Organization for Migration,False,paid,272925,272925
"Portugal, Government of",2020-06-18,United Nations Children's Fund,False,paid,56883,56883
"Portugal, Government of",2020-07-28,World Food Programme,False,paid,33595,33595
"Portugal, Government of",2020-04-18,United Nations High Commissioner for Refugees,False,paid,677998,787168
"Portugal, Government of",2020-05-15,,True,commitment,0,543974
"Portugal, Government of",2020-05-23,NGOs (details not yet provided),True,commitment,0,461455
"Portugal, Government of",2020-11-16,World Food Programme,False,commitment,0,176056
"Finland, Government of",2020-04-27,United Nations High Commissioner for Refugees,False,pledge,1790428,2380037
"Finland, Government of",2020-04-29,International Federation of Red Cross and Red Crescent Societies,False,commitment,0,1085776
"Finland, Government of",2020-05-01,United Nations High Commissioner for Refugees,False,paid,596809,596809
"Finland, Government of",2020-07-13,United Nations Children's Fund,False,paid,1136364,1136364
"Finland, Government of",2020-07-14,World Food Programme,False,paid,3359462,3359462
"Finland, Government of",2020-09-15,Finnish Red Cross,False,commitment,0,1066351
"Finland, Government of",2020-09-22,International Federation of Red Cross and Red Crescent Societies,False,commitment,0,473934
"Finland, Government of",2020-07-31,United Nations Population Fund,False,paid,1022727,1022727
"Finland, Government of",2020-04-01,World Health Organization,False,commitment,0,743753
"Finland, Government of",2020-11-27,World Vision International,True,commitment,0,592750
"Finland, Government of",2020-12-01,Plan International,True,commitment,0,2389488
"Finland, Government of",2020-12-10,International Committee of the Red Cross,False,commitment,0,716846
"Finland, Government of",2020-12-14,United Nations Relief and Works Agency for Palestine Refugees in the Near East,False,commitment,0,2389486
"Finland, Government of",2020-12-17,"Education Cannot Wait Fund,United Nations Children's Fund",False,commitment,0,7168459
"Finland, Government of",2020-12-18,United Nations Population Fund,False,commitment,0,3584229
European Commission,2020-04-27,United Nations High Commissioner for Refugees,False,commitment,3275109,28820961
European Commission,2020-05-15,World Health Organization,False,commitment,0,33838830
European Commission,2020-05-21,World Health Organization,False,pledge,0,22055046
European Commission,2020-09-09,World Health Organization,False,commitment,0,7606714
European Commission,2020-06-19,World Health Organization,False,pledge,0,13230430
European Commission,2020-02-14,United Nations High Commissioner for Refugees,False,paid,135667,135667
European Commission,2020-06-10,United Nations High Commissioner for Refugees,False,paid,697975,697975
European Commission,2020-06-04,International Medical Corps,True,paid,1103753,1103753
European Commission,2020-05-28,United Nations High Commissioner for Refugees,False,paid,3469387,3469387
European Commission,2020-05-12,United Nations High Commissioner for Refugees,False,paid,222020,222020
European Commission,2020-07-10,United Nations High Commissioner for Refugees,False,paid,1118770,1118770
European Commission,2017-05-01,International Organization for Migration,False,paid,2475840,2475840
European Commission,2020-07-26,World Health Organization,False,commitment,0,11140419
European Commission,2020-08-10,United Nations High Commissioner for Refugees,False,paid,5864999,5864999
European Commission,2020-08-21,United Nations High Commissioner for Refugees,False,paid,706714,706714
European Commission,2020-08-13,United Nations High Commissioner for Refugees,False,paid,119194,119194
European Commission,2020-07-13,United Nations High Commissioner for Refugees,False,paid,1253719,1253719
European Commission,2020-07-27,World Food Programme,False,commitment,0,2381591
European Commission,2020-11-04,United Nations High Commissioner for Refugees,False,paid,14446672,14446672
World Food Programme,2020-05-01,United Nations Children's Fund,False,paid,9743,9743
World Food Programme,2020-06-23,United Nations High Commissioner for Refugees,False,paid,100000,100000
World Food Programme,2020-08-26,OXFAM,True,paid,1842952,1842952
World Food Programme,2020-10-05,World Food Programme,False,paid,586854,586854
United Nations Joint Programme on HIV/AIDS,2020-04-27,United Nations Children's Fund,False,paid,891,891
United Nations Joint Programme on HIV/AIDS,2020-06-22,United Nations High Commissioner for Refugees,False,paid,13700,13700
United Nations Joint Programme on HIV/AIDS,2017-11-21,United Nations Population Fund,False,paid,16632,16632
United Nations High Commissioner for Refugees,2020-04-27,United Nations Children's Fund,False,paid,7347,7347
United Nations High Commissioner for Refugees,2020-01-01,Agency for Technical Cooperation and Development,True,paid,1810000,1810000
United Nations Population Fund,2020-04-27,United Nations Children's Fund,False,paid,10682,10682
United Nations Population Fund,2020-05-11,United Nations Population Fund,False,paid,1171650,1171650
United Nations Population Fund,2020-05-27,United Nations Children's Fund,False,paid,30000,30000
United Nations Population Fund,2020-06-19,World Health Organization,False,commitment,0,318416
United Nations Population Fund,2020-06-17,United Nations Population Fund,False,paid,2234910,2234910
United Nations Population Fund,2020-07-16,United Nations Population Fund,False,paid,971812,971812
United Nations Population Fund,2020-07-20,World Health Organization,False,commitment,0,300000
United Nations Population Fund,2020-08-28,United Nations High Commissioner for Refugees,False,paid,149519,149519
United Nations Population Fund,2020-10-13,World Health Organization,False,commitment,44000,134455
United Nations Population Fund,2020-11-16,Smile Again Africa Development Organization,True,paid,1347539,1347539
