...1,iati_identifier,reporting_org_text,reporting_org_ref,reporting_org_type,value_USD,transaction_date,transaction_type_code,transaction_type,provider_text,provider_ref,provider_type,receiver_text,receiver_ref,receiver_type,finance_type,covid_relevant,humanitarian,covid_matches,sector,country_region,value_USD_proportionate,id
13853,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,376971.5612654181,2020-06-01,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'transaction-description')",72010,CO,121573.3285080973,13853
13854,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,376971.5612654181,2020-06-01,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'transaction-description')",72050,CO,2827.286709490636,13854
13855,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,376971.5612654181,2020-06-01,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'transaction-description')",15160,CO,252570.9460478301,13855
13856,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,45236.58735185018,2020-06-01,1,Incoming Funds,Danish Refugee Council,DK-CVR-20699310,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",72010,CO,14588.79942097168,13856
13857,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,45236.58735185018,2020-06-01,1,Incoming Funds,Danish Refugee Council,DK-CVR-20699310,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",72050,CO,339.2744051388763,13857
13858,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,45236.58735185018,2020-06-01,1,Incoming Funds,Danish Refugee Council,DK-CVR-20699310,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",15160,CO,30308.51352573962,13858
13859,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,581408.2149642631,2020-06-01,1,Incoming Funds,U.S. Agency for International Development,US-GOV-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",72010,CO,187504.1493259749,13859
13860,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,581408.2149642631,2020-06-01,1,Incoming Funds,U.S. Agency for International Development,US-GOV-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",72050,CO,4360.561612231973,13860
13861,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,581408.2149642631,2020-06-01,1,Incoming Funds,U.S. Agency for International Development,US-GOV-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",15160,CO,389543.5040260563,13861
13862,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,354379.9710370419,2020-10-01,1,Incoming Funds,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",72010,CO,114287.540659446,13862
