id,time
211603,211
211615,210
211617,210
211618,210
211622,210
211623,210
211627,210
211628,210
211632,210
211633,210
211634,210
211636,210
211642,210
211649,210
211702,209
211704,212
211721,209
211748,210
211826,206
211829,206
211830,216
211831,216
211832,216
211850,206
211851,206
211852,206
212020,233
212021,233
212022,205
212024,206
212025,210
212026,210
212027,210
212028,254
212032,233
212049,209
212063,251
212066,213
212067,251
212068,251
212069,251
212070,251
212071,251
212072,212
212244,199
212246,199
212247,199
212248,199
212249,199
212250,199
212311,202
212325,203
212353,260
212371,199
212376,204
212439,199
212440,199
212443,199
212515,230
212588,225
212594,195
212595,195
212596,195
212598,196
212599,196
212601,195
212619,196
212654,195
212661,195
212662,195
212663,195
212665,195
212671,195
212674,195
212831,195
212832,195
212833,195
212834,195
212835,206
212837,195
212838,279
212840,195
212841,192
212845,192
212846,195
212848,192
212850,192
212851,192
212855,192
212857,195
212858,195
212994,195
213001,190
213004,190
213008,190
213017,190
213022,190
213027,190
213028,190
213034,190
213054,192
213057,192
213060,192
213061,192
213115,195
213116,195
213118,195
213121,191
213123,191
213125,191
213126,191
213127,191
213128,189
213129,189
213130,189
213131,189
213145,195
213146,195
213149,195
213150,170
213155,170
213156,113
213157,113
213161,113
213188,188
213196,196
213227,226
213228,226
213229,226
213231,226
213232,226
213233,226
213234,226
213235,226
213236,226
213237,226
213245,226
213246,226
213257,185
213265,210
213332,187
213333,187
213346,170
213350,170
213354,104
213355,113
213356,170
213376,184
213528,241
213536,267
213537,267
213541,253
213543,253
213547,204
213548,183
213563,183
213565,183
213567,182
213571,183
213582,183
213587,183
213588,183
213589,183
213595,183
213597,183
213601,183
213609,183
213612,183
213617,183
213641,181
213668,184
213690,182
213716,182
213717,181
213718,185
213744,182
213884,177
213888,177
214025,251
214026,251
214027,251
214028,251
214066,197
214218,173
214224,175
214225,175
214226,175
214227,175
214230,175
214233,175
214235,176
214236,176
214237,176
214238,176
214239,176
214240,176
214242,176
214243,176
214244,176
214245,176
214250,176
214252,176
214253,176
214254,176
214256,176
214257,176
214258,176
214259,176
214260,176
214261,176
214262,176
214335,170
214456,170
214533,255
214973,167
214974,167
214976,167
215016,169
215017,169
215018,169
211103,217
215026,170
210070,245
215037,170
215038,170
215040,170
215049,170
215050,170
215051,170
214516,170
209942,234
211090,217
211517,211
215112,167
215187,169
215189,167
215190,167
215192,167
215193,167
215194,167
215195,167
215196,167
215198,167
215199,169
215200,169
215201,169
215202,169
215205,169
215206,169
215224,169
215227,169
215228,169
215230,169
215231,169
215232,169
215233,169
215234,169
215235,169
215236,169
215069,167
215095,167
215108,167
215132,198
215251,164
215316,170
214588,203
214589,203
215390,169
215407,191
215408,193
215409,196
215410,178
215071,167
214170,174
215110,167
215519,162
215525,162
215531,169
215536,160
215537,160
215562,184
215563,184
215564,184
215565,160
215567,160
215568,160
215569,160
215570,160
215571,160
215572,160
215573,160
215574,160
215575,160
215576,160
215577,160
215578,160
215579,160
215639,226
215341,162
215643,184
215644,184
215646,184
215650,218
215656,213
215659,202
215660,232
215662,202
215663,219
215664,244
215665,213
215666,213
215667,213
215668,213
215669,213
215671,206
215762,200
215764,156
215768,156
215769,195
215770,184
215771,245
215772,245
215773,245
215774,245
215775,255
215777,212
215599,180
208860,251
216004,239
208976,251
209782,216
214645,255
215126,182
210242,255
214865,174
208854,252
216255,209
216256,209
216257,209
216258,207
216259,206
216260,205
216261,203
